Country,League,Season,Date,Time,Home,Away,HG,AG,Res
Brazil,Serie A,2024,2024-06-29,22:30,Vasco,Botafogo RJ,1,1,D
Brazil,Serie A,2024,2024-06-30,15:00,Atletico-MG,Atletico GO,1,1,D
Brazil,Serie A,2024,2024-06-30,20:00,Fortaleza,Juventude,2,1,H
Brazil,Serie A,2024,2024-06-30,20:00,Gremio,Fluminense,1,0,H
Brazil,Serie A,2024,2024-06-30,20:00,Sao Paulo,Bahia,3,1,H
Brazil,Serie A,2024,2024-06-30,22:30,Criciuma,Internacional,1,1,D
Brazil,Serie A,2024,2024-06-30,22:30,Flamengo RJ,Cruzeiro,2,1,H
Brazil,Serie A,2024,2024-06-30,22:30,Vitoria,Athletico-PR,0,1,A
Brazil,Serie A,2024,2024-07-02,00:00,Palmeiras,Corinthians,2,0,H
Brazil,Serie A,2024,2024-07-03,23:00,Cuiaba,Botafogo RJ,1,2,A
Brazil,Serie A,2024,2024-07-04,00:00,Criciuma,Cruzeiro,1,0,H
Brazil,Serie A,2024,2024-07-04,00:00,Vasco,Fortaleza,2,0,H
Brazil,Serie A,2024,2024-07-04,01:30,Athletico-PR,Sao Paulo,1,2,A
Brazil,Serie A,2024,2024-07-04,01:30,Atletico-MG,Flamengo RJ,2,4,A
Brazil,Serie A,2024,2024-07-04,01:30,Bragantino,Atletico GO,3,1,H
Brazil,Serie A,2024,2024-07-04,23:00,Bahia,Juventude,2,0,H
Brazil,Serie A,2024,2024-07-04,23:00,Gremio,Palmeiras,2,2,D
Brazil,Serie A,2024,2024-07-05,00:00,Corinthians,Vitoria,3,2,H
Brazil,Serie A,2024,2024-07-05,00:00,Fluminense,Internacional,1,1,D
Brazil,Serie A,2024,2024-07-07,00:00,Flamengo RJ,Cuiaba,1,1,D
Brazil,Serie A,2024,2024-07-07,00:00,Sao Paulo,Bragantino,2,0,H
Brazil,Serie A,2024,2024-07-07,20:00,Cruzeiro,Corinthians,3,0,H
Brazil,Serie A,2024,2024-07-07,20:00,Fortaleza,Fluminense,1,0,H
Brazil,Serie A,2024,2024-07-07,20:00,Juventude,Gremio,3,0,H
Brazil,Serie A,2024,2024-07-07,22:00,Internacional,Vasco,1,2,A
Brazil,Serie A,2024,2024-07-07,22:30,Atletico GO,Athletico-PR,1,2,A
Brazil,Serie A,2024,2024-07-07,22:30,Palmeiras,Bahia,2,0,H
Brazil,Serie A,2024,2024-07-07,22:30,Vitoria,Criciuma,2,1,H
Brazil,Serie A,2024,2024-07-08,00:30,Botafogo RJ,Atletico-MG,3,0,H
Brazil,Serie A,2024,2024-07-10,22:30,Gremio,Cruzeiro,0,2,A
Brazil,Serie A,2024,2024-07-10,23:00,Athletico-PR,Bahia,1,3,A
Brazil,Serie A,2024,2024-07-10,23:00,Vasco,Corinthians,2,0,H
Brazil,Serie A,2024,2024-07-11,23:30,Palmeiras,Atletico GO,3,1,H
Brazil,Serie A,2024,2024-07-12,00:00,Criciuma,Fluminense,1,1,D
Brazil,Serie A,2024,2024-07-12,00:00,Flamengo RJ,Fortaleza,1,2,A
Brazil,Serie A,2024,2024-07-12,01:30,Atletico-MG,Sao Paulo,2,1,H
Brazil,Serie A,2024,2024-07-12,01:30,Vitoria,Botafogo RJ,0,1,A
Brazil,Serie A,2024,2024-07-13,20:00,Bahia,Cuiaba,1,2,A
Brazil,Serie A,2024,2024-07-13,20:00,Cruzeiro,Bragantino,2,1,H
Brazil,Serie A,2024,2024-07-16,23:00,Juventude,Atletico-MG,1,1,D
Brazil,Serie A,2024,2024-07-17,01:00,Corinthians,Criciuma,2,1,H
Brazil,Serie A,2024,2024-07-17,23:00,Atletico GO,Vasco,0,1,A
Brazil,Serie A,2024,2024-07-18,00:00,Sao Paulo,Gremio,1,0,H
Brazil,Serie A,2024,2024-07-18,01:30,Botafogo RJ,Palmeiras,1,0,H
Brazil,Serie A,2024,2024-07-18,01:30,Fortaleza,Vitoria,3,1,H
Brazil,Serie A,2024,2024-07-20,20:00,Flamengo RJ,Criciuma,2,1,H
Brazil,Serie A,2024,2024-07-20,22:30,Botafogo RJ,Internacional,1,0,H
Brazil,Serie A,2024,2024-07-21,01:00,Palmeiras,Cruzeiro,2,0,H
Brazil,Serie A,2024,2024-07-21,15:00,Gremio,Vitoria,2,0,H
Brazil,Serie A,2024,2024-07-21,20:00,Atletico-MG,Vasco,2,0,H
Brazil,Serie A,2024,2024-07-21,20:00,Bahia,Corinthians,0,1,A
Brazil,Serie A,2024,2024-07-21,22:30,Bragantino,Athletico-PR,1,0,H
Brazil,Serie A,2024,2024-07-21,22:30,Fortaleza,Atletico GO,3,1,H
Brazil,Serie A,2024,2024-07-21,22:30,Juventude,Sao Paulo,0,0,D
Brazil,Serie A,2024,2024-07-22,00:00,Cuiaba,Fluminense,0,1,A
Brazil,Serie A,2024,2024-07-24,23:00,Criciuma,Fortaleza,1,1,D
Brazil,Serie A,2024,2024-07-24,23:00,Cruzeiro,Juventude,2,0,H
Brazil,Serie A,2024,2024-07-24,23:30,Sao Paulo,Botafogo RJ,2,2,D
Brazil,Serie A,2024,2024-07-25,00:00,Vitoria,Flamengo RJ,1,2,A
Brazil,Serie A,2024,2024-07-25,01:30,Atletico GO,Bahia,1,1,D
Brazil,Serie A,2024,2024-07-25,01:30,Fluminense,Palmeiras,1,0,H
Brazil,Serie A,2024,2024-07-26,00:00,Corinthians,Gremio,2,2,D
Brazil,Serie A,2024,2024-07-27,23:00,Juventude,Criciuma,1,2,A
Brazil,Serie A,2024,2024-07-27,23:00,Palmeiras,Vitoria,0,2,A
Brazil,Serie A,2024,2024-07-28,00:00,Bahia,Internacional,1,1,D
Brazil,Serie A,2024,2024-07-28,01:30,Botafogo RJ,Cruzeiro,0,3,A
Brazil,Serie A,2024,2024-07-28,01:30,Fortaleza,Sao Paulo,1,0,H
Brazil,Serie A,2024,2024-07-28,15:00,Bragantino,Fluminense,0,1,A
Brazil,Serie A,2024,2024-07-28,20:00,Flamengo RJ,Atletico GO,2,0,H
Brazil,Serie A,2024,2024-07-28,23:00,Atletico-MG,Corinthians,2,1,H
Brazil,Serie A,2024,2024-07-28,23:00,Cuiaba,Athletico-PR,1,2,A
Brazil,Serie A,2024,2024-07-28,23:00,Gremio,Vasco,1,0,H
Brazil,Serie A,2024,2024-08-03,20:00,Vitoria,Cuiaba,1,0,H
Brazil,Serie A,2024,2024-08-03,23:00,Vasco,Bragantino,2,2,D
Brazil,Serie A,2024,2024-08-04,00:00,Atletico GO,Botafogo RJ,1,4,A
Brazil,Serie A,2024,2024-08-04,00:00,Criciuma,Atletico-MG,2,1,H
Brazil,Serie A,2024,2024-08-04,01:30,Sao Paulo,Flamengo RJ,1,0,H
Brazil,Serie A,2024,2024-08-04,20:00,Athletico-PR,Gremio,0,2,A
Brazil,Serie A,2024,2024-08-04,20:00,Corinthians,Juventude,1,1,D
Brazil,Serie A,2024,2024-08-04,20:00,Fluminense,Bahia,1,0,H
Brazil,Serie A,2024,2024-08-04,21:00,Internacional,Palmeiras,1,1,D
Brazil,Serie A,2024,2024-08-06,01:00,Cruzeiro,Fortaleza,1,2,A
Brazil,Serie A,2024,2024-08-10,20:00,Fortaleza,Criciuma,1,0,H
Brazil,Serie A,2024,2024-08-10,23:00,Cuiaba,Gremio,1,3,A
Brazil,Serie A,2024,2024-08-11,01:30,Corinthians,Bragantino,1,1,D
Brazil,Serie A,2024,2024-08-11,01:30,Cruzeiro,Atletico-MG,0,0,D
Brazil,Serie A,2024,2024-08-11,01:30,Vasco,Fluminense,2,0,H
Brazil,Serie A,2024,2024-08-11,15:00,Juventude,Botafogo RJ,3,2,H
Brazil,Serie A,2024,2024-08-11,20:00,Bahia,Vitoria,2,0,H
Brazil,Serie A,2024,2024-08-11,20:00,Flamengo RJ,Palmeiras,1,1,D
Brazil,Serie A,2024,2024-08-11,20:00,Sao Paulo,Atletico GO,1,0,H
Brazil,Serie A,2024,2024-08-11,23:00,Internacional,Athletico-PR,2,2,D
Brazil,Serie A,2024,2024-08-14,23:30,Internacional,Juventude,2,1,H
Brazil,Serie A,2024,2024-08-17,20:00,Atletico-MG,Cuiaba,1,1,D
Brazil,Serie A,2024,2024-08-17,20:00,Gremio,Bahia,0,2,A
Brazil,Serie A,2024,2024-08-17,22:30,Bragantino,Fortaleza,1,2,A
Brazil,Serie A,2024,2024-08-18,01:00,Fluminense,Corinthians,0,0,D
Brazil,Serie A,2024,2024-08-18,20:00,Atletico GO,Internacional,1,0,H
Brazil,Serie A,2024,2024-08-18,20:00,Criciuma,Vasco,2,2,D
Brazil,Serie A,2024,2024-08-18,20:00,Palmeiras,Sao Paulo,2,1,H
Brazil,Serie A,2024,2024-08-18,22:30,Athletico-PR,Juventude,1,2,A
Brazil,Serie A,2024,2024-08-18,22:30,Botafogo RJ,Flamengo RJ,4,1,H
Brazil,Serie A,2024,2024-08-20,00:00,Vitoria,Cruzeiro,2,2,D
Brazil,Serie A,2024,2024-08-24,20:00,Atletico GO,Juventude,2,1,H
Brazil,Serie A,2024,2024-08-24,22:30,Palmeiras,Cuiaba,5,0,H
Brazil,Serie A,2024,2024-08-25,01:00,Atletico-MG,Fluminense,0,2,A
Brazil,Serie A,2024,2024-08-25,20:00,Bahia,Botafogo RJ,0,0,D
Brazil,Serie A,2024,2024-08-25,20:00,Criciuma,Gremio,0,1,A
Brazil,Serie A,2024,2024-08-25,20:00,Fortaleza,Corinthians,1,0,H
Brazil,Serie A,2024,2024-08-25,22:30,Sao Paulo,Vitoria,2,1,H
Brazil,Serie A,2024,2024-08-25,23:00,Internacional,Cruzeiro,1,0,H
Brazil,Serie A,2024,2024-08-26,00:00,Flamengo RJ,Bragantino,2,1,H
Brazil,Serie A,2024,2024-08-27,01:00,Vasco,Athletico-PR,2,1,H
Brazil,Serie A,2024,2024-08-28,23:30,Criciuma,Bragantino,1,0,H
Brazil,Serie A,2024,2024-08-28,23:30,Cruzeiro,Internacional,0,0,D
Brazil,Serie A,2024,2024-08-31,22:30,Cuiaba,Criciuma,2,1,H
Brazil,Serie A,2024,2024-09-01,01:00,Botafogo RJ,Fortaleza,2,0,H
Brazil,Serie A,2024,2024-09-01,15:00,Cruzeiro,Atletico GO,3,1,H
Brazil,Serie A,2024,2024-09-01,15:00,Gremio,Atletico-MG,2,3,A
Brazil,Serie A,2024,2024-09-01,20:00,Corinthians,Flamengo RJ,2,1,H
Brazil,Serie A,2024,2024-09-01,22:30,Athletico-PR,Palmeiras,0,2,A
Brazil,Serie A,2024,2024-09-01,22:30,Bragantino,Bahia,2,1,H
Brazil,Serie A,2024,2024-09-01,22:30,Fluminense,Sao Paulo,2,0,H
Brazil,Serie A,2024,2024-09-01,22:30,Juventude,Internacional,1,3,A
Brazil,Serie A,2024,2024-09-01,22:30,Vitoria,Vasco,0,1,A
Brazil,Serie A,2024,2024-09-06,00:00,Cuiaba,Juventude,0,0,D
Brazil,Serie A,2024,2024-09-11,23:00,Internacional,Fortaleza,2,1,H
Brazil,Serie A,2024,2024-09-14,20:00,Atletico GO,Vitoria,0,2,A
